,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4434,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,audio_features,1wADwLSkYhrSmy4vdy6BRn,spotify:track:1wADwLSkYhrSmy4vdy6BRn,https://api.spotify.com/v1/tracks/1wADwLSkYhrSmy4vdy6BRn,https://api.spotify.com/v1/audio-analysis/1wADwLSkYhrSmy4vdy6BRn,183057,4
4435,0.818,0.605,1,-7.121,1,0.038,0.293,0.0116,0.0696,0.366,104.931,audio_features,5CTQCPv51aLWpwTbqo8mEL,spotify:track:5CTQCPv51aLWpwTbqo8mEL,https://api.spotify.com/v1/tracks/5CTQCPv51aLWpwTbqo8mEL,https://api.spotify.com/v1/audio-analysis/5CTQCPv51aLWpwTbqo8mEL,178225,4
4436,0.749,0.663,5,-7.093,0,0.0364,0.0379,0.000168,0.103,0.593,104.967,audio_features,6RbOyNeajWax51NtpO6WT8,spotify:track:6RbOyNeajWax51NtpO6WT8,https://api.spotify.com/v1/tracks/6RbOyNeajWax51NtpO6WT8,https://api.spotify.com/v1/audio-analysis/6RbOyNeajWax51NtpO6WT8,148000,4
4437,0.735,0.592,1,-11.208,1,0.0534,0.0661,0.522,0.125,0.603,104.065,audio_features,3rmqNsOiGqqvFNTmGlzl4R,spotify:track:3rmqNsOiGqqvFNTmGlzl4R,https://api.spotify.com/v1/tracks/3rmqNsOiGqqvFNTmGlzl4R,https://api.spotify.com/v1/audio-analysis/3rmqNsOiGqqvFNTmGlzl4R,159426,4
4438,0.891,0.692,5,-6.321,0,0.0483,0.173,0.132,0.0939,0.895,109.944,audio_features,0u2A4QNAMUyfQbgfVR3HvK,spotify:track:0u2A4QNAMUyfQbgfVR3HvK,https://api.spotify.com/v1/tracks/0u2A4QNAMUyfQbgfVR3HvK,https://api.spotify.com/v1/audio-analysis/0u2A4QNAMUyfQbgfVR3HvK,176135,4
4439,0.914,0.721,2,-6.966,1,0.0413,0.0642,0.0352,0.0794,0.481,114.053,audio_features,7zhLSGUbneW7Tm3wpp3HjY,spotify:track:7zhLSGUbneW7Tm3wpp3HjY,https://api.spotify.com/v1/tracks/7zhLSGUbneW7Tm3wpp3HjY,https://api.spotify.com/v1/audio-analysis/7zhLSGUbneW7Tm3wpp3HjY,182073,4
4440,0.809,0.837,1,-6.362,0,0.0676,0.106,0.00405,0.11,0.401,100.034,audio_features,1sDAPYzFftbXW5fhMl0oKI,spotify:track:1sDAPYzFftbXW5fhMl0oKI,https://api.spotify.com/v1/tracks/1sDAPYzFftbXW5fhMl0oKI,https://api.spotify.com/v1/audio-analysis/1sDAPYzFftbXW5fhMl0oKI,163200,4
4441,0.92,0.716,8,-7.104,1,0.105,0.296,0.00222,0.104,0.961,115.991,audio_features,4eZZofkV1OQ9GDqAgHqNpA,spotify:track:4eZZofkV1OQ9GDqAgHqNpA,https://api.spotify.com/v1/tracks/4eZZofkV1OQ9GDqAgHqNpA,https://api.spotify.com/v1/audio-analysis/4eZZofkV1OQ9GDqAgHqNpA,183103,4
4442,0.52,0.75,7,-4.106,0,0.103,0.104,0.0685,0.0955,0.923,158.508,audio_features,6vFtGl6zGGz3eqD6wEF9T2,spotify:track:6vFtGl6zGGz3eqD6wEF9T2,https://api.spotify.com/v1/tracks/6vFtGl6zGGz3eqD6wEF9T2,https://api.spotify.com/v1/audio-analysis/6vFtGl6zGGz3eqD6wEF9T2,178330,5
4443,0.859,0.822,10,-5.005,0,0.0467,0.07,0.0144,0.101,0.908,110.045,audio_features,2pUlBBWq8R10ylbBvZJV9j,spotify:track:2pUlBBWq8R10ylbBvZJV9j,https://api.spotify.com/v1/tracks/2pUlBBWq8R10ylbBvZJV9j,https://api.spotify.com/v1/audio-analysis/2pUlBBWq8R10ylbBvZJV9j,177170,4
4444,0.573,0.665,1,-4.12,0,0.111,0.329,0.0,0.17,0.543,113.978,audio_features,23Fh73OaYgY5cisouEybte,spotify:track:23Fh73OaYgY5cisouEybte,https://api.spotify.com/v1/tracks/23Fh73OaYgY5cisouEybte,https://api.spotify.com/v1/audio-analysis/23Fh73OaYgY5cisouEybte,158813,4
4445,0.801,0.707,6,-8.322,0,0.0369,0.0394,0.000164,0.255,0.666,112.966,audio_features,6RTwIBYKDxNhEG8V2dV5FQ,spotify:track:6RTwIBYKDxNhEG8V2dV5FQ,https://api.spotify.com/v1/tracks/6RTwIBYKDxNhEG8V2dV5FQ,https://api.spotify.com/v1/audio-analysis/6RTwIBYKDxNhEG8V2dV5FQ,166761,4
4446,0.835,0.686,6,-6.85,0,0.053,0.0447,7.87e-05,0.123,0.472,112.015,audio_features,41YY4PVH00tZM9vzdx7Yr6,spotify:track:41YY4PVH00tZM9vzdx7Yr6,https://api.spotify.com/v1/tracks/41YY4PVH00tZM9vzdx7Yr6,https://api.spotify.com/v1/audio-analysis/41YY4PVH00tZM9vzdx7Yr6,222857,4
4447,0.76,0.815,0,-4.225,1,0.0413,0.0744,0.000694,0.101,0.63,107.966,audio_features,0TdQ54hT5S5racTQAwdW3U,spotify:track:0TdQ54hT5S5racTQAwdW3U,https://api.spotify.com/v1/tracks/0TdQ54hT5S5racTQAwdW3U,https://api.spotify.com/v1/audio-analysis/0TdQ54hT5S5racTQAwdW3U,224444,4
4448,0.577,0.658,1,-5.655,0,0.286,0.226,0.0,0.0973,0.571,103.019,audio_features,6ul65P7AUrBOChHa5YJbMN,spotify:track:6ul65P7AUrBOChHa5YJbMN,https://api.spotify.com/v1/tracks/6ul65P7AUrBOChHa5YJbMN,https://api.spotify.com/v1/audio-analysis/6ul65P7AUrBOChHa5YJbMN,161942,4
4449,0.707,0.716,5,-7.028,1,0.131,0.459,0.00531,0.112,0.663,103.041,audio_features,4zqWVvzrPDFQmTH8lkeU5p,spotify:track:4zqWVvzrPDFQmTH8lkeU5p,https://api.spotify.com/v1/tracks/4zqWVvzrPDFQmTH8lkeU5p,https://api.spotify.com/v1/audio-analysis/4zqWVvzrPDFQmTH8lkeU5p,177250,4
4450,0.716,0.716,4,-5.631,0,0.297,0.0705,0.00215,0.435,0.619,185.947,audio_features,41DbDfjIikTbyBU17WEZ6j,spotify:track:41DbDfjIikTbyBU17WEZ6j,https://api.spotify.com/v1/tracks/41DbDfjIikTbyBU17WEZ6j,https://api.spotify.com/v1/audio-analysis/41DbDfjIikTbyBU17WEZ6j,158387,4
4451,0.546,0.611,0,-9.459,0,0.172,0.484,0.00149,0.101,0.749,104.059,audio_features,4lVEVXrlQlXPdYWMGTwrFe,spotify:track:4lVEVXrlQlXPdYWMGTwrFe,https://api.spotify.com/v1/tracks/4lVEVXrlQlXPdYWMGTwrFe,https://api.spotify.com/v1/audio-analysis/4lVEVXrlQlXPdYWMGTwrFe,205000,4
